id,impact.gap,impact.magnitude,impact.significance,location.depth,location.distance,location.full,location.latitude,location.longitude,location.name,time.day,time.epoch,time.full,time.hour,time.minute,time.month,time.second,time.year
nc72667006,92,1.74,47,4.3,0.05841,"8km SSW of Kelseyville, California",38.9155,-122.8926667,California,27,1.47E+12,7/27/2016 08:57,8,57,7,30,2016
ci37640768,54,1.53,36,0.58,0.07573,"9km E of Yucaipa, CA",34.018,-116.9448333,California,27,1.47E+12,7/27/2016 09:17,9,17,7,47,2016
ci37640776,48,1.82,51,6.73,0.1328,"24km ESE of Julian, CA",33.0133333,-116.3573333,California,27,1.47E+12,7/27/2016 09:19,9,19,7,31,2016
ci37640792,62,0.61,6,1.1,0.0006807,"16km NE of Little Lake, CA",36.0255,-117.7645,California,27,1.47E+12,7/27/2016 09:37,9,37,7,54,2016
nc72667016,67,2.09,67,5.37,0.02263,"20km SSE of Ridgemark, California",36.646,-121.2611667,California,27,1.47E+12,7/27/2016 09:50,9,50,7,11,2016
nc72667021,52,1.16,21,1.42,0.006506,"7km W of Cobb, California",38.8293333,-122.8135,California,27,1.47E+12,7/27/2016 09:50,9,50,7,20,2016
ci37640816,62,0.72,8,1.54,0.002016,"16km NE of Little Lake, CA",36.0243333,-117.7675,California,27,1.47E+12,7/27/2016 10:02,10,2,7,16,2016
ci37640824,106,0.96,14,1.56,0.00212,"16km NE of Little Lake, CA",36.0273333,-117.7651667,California,27,1.47E+12,7/27/2016 10:06,10,6,7,4,2016
nc72667036,164,1.11,19,1.66,0.0617,"7km SSW of Kelseyville, California",38.9195,-122.8885,California,27,1.47E+12,7/27/2016 11:19,11,19,7,34,2016
nc72667046,307,0.65,6,0.66,0.1457,"21km SSE of Mammoth Lakes, California",37.4673333,-118.8923333,California,27,1.47E+12,7/27/2016 11:27,11,27,7,53,2016
nc72667051,62,1.56,37,2.24,0.007541,"9km WNW of The Geysers, California",38.8226667,-122.8446667,California,27,1.47E+12,7/27/2016 12:15,12,15,7,54,2016
ci37640856,38,2.17,72,1.68,0.07799,"20km ENE of Thermal, CA",33.7266667,-115.9446667,California,27,1.47E+12,7/27/2016 12:17,12,17,7,34,2016
ci37640864,75,0.68,7,11.2,0.07319,"15km ESE of Anza, CA",33.5185,-116.5193333,California,27,1.47E+12,7/27/2016 12:45,12,45,7,46,2016
nc72667056,167,2.25,78,21,0.02659,"22km S of San Joaquin, California",36.4063333,-120.2075,California,27,1.47E+12,7/27/2016 12:54,12,54,7,54,2016
ci37640896,19,2.03,64,13.68,0.0459,"5km ENE of Cabazon, CA",33.9368333,-116.7363333,California,27,1.47E+12,7/27/2016 13:22,13,22,7,12,2016
ci37640904,38,1.28,25,1.95,0.07724,"21km ENE of Thermal, CA",33.7276667,-115.9425,California,27,1.47E+12,7/27/2016 13:29,13,29,7,17,2016
ci37640936,149,0.71,8,16.17,0.1197,"17km N of Borrego Springs, CA",33.4063333,-116.3943333,California,27,1.47E+12,7/27/2016 13:43,13,43,7,23,2016
ci37640944,37,1.59,39,1.43,0.07916,"21km ENE of Thermal, CA",33.7288333,-115.9443333,California,27,1.47E+12,7/27/2016 13:47,13,47,7,1,2016
ci37640960,23,2.62,107,4.17,0.1253,"12km SSE of Big Bear City, CA",34.1613333,-116.8086667,California,27,1.47E+12,7/27/2016 13:59,13,59,7,44,2016
ci37640976,73,0.4,2,14.55,0.06129,"9km N of Anza, CA",33.6343333,-116.6635,California,27,1.47E+12,7/27/2016 14:54,14,54,7,38,2016
ci37640992,66,1.59,39,-1.4,0.1113,"11km SSW of Lucerne Valley, CA",34.3563333,-117.0238333,California,27,1.47E+12,7/27/2016 14:57,14,57,7,47,2016
ci37641016,46,1.36,28,-0.55,0.04769,"4km SE of Home Gardens, CA",33.8495,-117.4875,California,27,1.47E+12,7/27/2016 15:32,15,32,7,32,2016
nc72667096,215,1.84,52,1.44,0.1657,"24km WNW of San Simeon, California",35.7406667,-121.438,California,27,1.47E+12,7/27/2016 15:38,15,38,7,17,2016
ci37641032,50,1.02,16,1.19,0.08604,"21km ENE of Thermal, CA",33.7351667,-115.9486667,California,27,1.47E+12,7/27/2016 15:53,15,53,7,25,2016
nc72667106,87,0.75,9,5.19,0.02757,"12km SE of Mammoth Lakes, California",37.5753333,-118.8585,California,27,1.47E+12,7/27/2016 16:17,16,17,7,53,2016
ci37641064,61,0.9,12,-1.01,0.06748,"12km SE of Tehachapi, CA",35.0581667,-118.3453333,California,27,1.47E+12,7/27/2016 16:36,16,36,7,27,2016
ci37641112,147,0.68,7,15.88,0.05913,"11km SE of Valle Vista, CA",33.6805,-116.8106667,California,27,1.47E+12,7/27/2016 18:13,18,13,7,30,2016
ci37641128,59,0.89,12,9.53,0.05766,"24km ESE of Ridgecrest, CA",35.5331667,-117.4345,California,27,1.47E+12,7/27/2016 18:20,18,20,7,7,2016
nc72667156,242,2.5,96,19.98,0.1677,"36km SSW of Ferndale, California",40.2971667,-124.5011667,California,27,1.47E+12,7/27/2016 19:22,19,22,7,24,2016
ci37641144,58,1.82,51,-0.82,0.1042,"5km NNW of Boron, CA",35.038,-117.6803333,California,27,1.47E+12,7/27/2016 19:32,19,32,7,21,2016
ci37641160,80,0.97,14,-0.5,0.02757,"13km SSE of Home Gardens, CA",33.7748333,-117.4486667,California,27,1.47E+12,7/27/2016 19:52,19,52,7,40,2016
ci37641168,67,0.34,2,2.04,0.009406,"16km E of Coso Junction, CA",36.0303333,-117.775,California,27,1.47E+12,7/27/2016 19:59,19,59,7,55,2016
nc72667176,65,0.93,13,1.5,0.01162,"4km WNW of Cobb, California",38.8311653,-122.7736664,California,27,1.47E+12,7/27/2016 20:02,20,2,7,44,2016
nc72667181,167,1.88,54,13.44,0.188,"10km WNW of Big Pine, California",37.2006667,-118.4,California,27,1.47E+12,7/27/2016 20:03,20,3,7,5,2016
ci37641176,27,1.64,41,9.84,0.08017,"23km ESE of Anza, CA",33.449,-116.462,California,27,1.47E+12,7/27/2016 20:05,20,5,7,18,2016
ci37143356,92,0.65,6,2.03,0.05133,"6km ENE of Coso Junction, CA",36.0583333,-117.879,California,27,1.47E+12,7/27/2016 20:26,20,26,7,21,2016
ci37641200,110,0.62,6,4.35,0.09109,"5km NW of Banning, CA",33.9611667,-116.9105,California,27,1.47E+12,7/27/2016 20:35,20,35,7,31,2016
nc71104639,334,0.68,7,6.89,0.06007,"22km SW of Gustine, California",37.1026667,-121.154,California,27,1.47E+12,7/27/2016 20:40,20,40,7,6,2016
ci37641208,109,0.74,8,15.6,0.05845,"12km SSW of Idyllwild, CA",33.6505,-116.7821667,California,27,1.47E+12,7/27/2016 21:10,21,10,7,28,2016
nc72667201,113,0.23,1,2.17,0.008497,"6km NW of The Geysers, California",38.8168333,-122.817,California,27,1.47E+12,7/27/2016 21:11,21,11,7,49,2016
nc71104644,312,0.49,4,2.7,0.04464,"27km NE of Hollister, California",37.0341667,-121.1968333,California,27,1.47E+12,7/27/2016 21:34,21,34,7,3,2016
nc72667211,230,0.99,15,-0.12,0.05734,"11km SSE of Mammoth Lakes, California",37.555,-118.9075,California,27,1.47E+12,7/27/2016 21:58,21,58,7,29,2016
ci37641224,53,1.25,24,12.95,0.07064,"7km SSE of Loma Linda, CA",33.9906667,-117.2443333,California,27,1.47E+12,7/27/2016 21:58,21,58,7,46,2016
ci37641232,147,0.71,8,16.36,0.04424,"8km SE of Idyllwild, CA",33.6855,-116.6713333,California,27,1.47E+12,7/27/2016 22:02,22,2,7,19,2016
ci37641240,49,1.74,47,9.34,0.009231,"20km SSW of La Quinta, CA",33.5145,-116.4226667,California,27,1.47E+12,7/27/2016 22:19,22,19,7,29,2016
nc72667221,116,0.58,5,1.34,0.008377,"2km E of The Geysers, California",38.7796669,-122.7241669,California,27,1.47E+12,7/27/2016 22:24,22,24,7,28,2016
nc72667246,291,0.57,5,3.65,0.1008,"16km S of Mammoth Lakes, California",37.5061667,-119.0055,California,27,1.47E+12,7/27/2016 22:52,22,52,7,46,2016
ci37641256,153,0.42,3,10.66,0.03859,"15km ESE of Anza, CA",33.5196667,-116.5213333,California,27,1.47E+12,7/27/2016 23:01,23,1,7,51,2016
ci37641264,41,1.13,20,3.92,0.1495,"24km N of California City, CA",35.3395,-118.006,California,27,1.47E+12,7/27/2016 23:39,23,39,7,44,2016
nc71104649,313,0.5,4,2.98,0.04592,"27km NE of Hollister, California",37.033,-121.1961667,California,27,1.47E+12,7/27/2016 23:40,23,40,7,54,2016
ci37641272,78,0.65,6,11.46,0.04485,"15km ESE of Anza, CA",33.5131667,-116.522,California,27,1.47E+12,7/27/2016 23:43,23,43,7,1,2016
nc72667256,92,0.91,13,2.58,0.006233,"3km WNW of The Geysers, California",38.7965012,-122.7946701,California,27,1.47E+12,7/27/2016 23:43,23,43,7,9,2016
ci37641280,70,0.93,13,4.75,0.01824,"3km W of Borrego Springs, CA",33.2523333,-116.4063333,California,27,1.47E+12,7/27/2016 23:44,23,44,7,1,2016
nc72667261,136,0.94,14,3.15,0.008763,"4km WNW of The Geysers, California",38.7944984,-122.7990036,California,27,1.47E+12,7/27/2016 23:44,23,44,7,29,2016
nc72667266,74,0.92,13,1.47,0.009427,"4km W of Cobb, California",38.8226662,-122.7796631,California,27,1.47E+12,7/27/2016 23:57,23,57,7,50,2016
nc72667276,60,0.35,2,4.43,0.02393,"3km ESE of Mammoth Lakes, California",37.6411667,-118.9305,California,28,1.47E+12,7/28/2016 00:16,0,16,7,38,2016
ci37641296,109,0.84,11,0.08,0.08505,"20km ENE of Thermal, CA",33.7345,-115.9526667,California,28,1.47E+12,7/28/2016 00:26,0,26,7,6,2016
nc72667296,116,1.13,20,7.23,0.05115,"25km NE of Soledad, California",36.5923333,-121.1303333,California,28,1.47E+12,7/28/2016 01:00,1,0,7,54,2016
nc72667306,54,1.18,21,6.88,0.04253,"14km S of Lake Nacimiento, California",35.5948333,-120.8835,California,28,1.47E+12,7/28/2016 01:17,1,17,7,55,2016
nc72667311,122,1.2,22,1.25,0.1319,"18km S of Mammoth Lakes, California",37.4793333,-118.9851667,California,28,1.47E+12,7/28/2016 01:27,1,27,7,18,2016
nc72667316,101,1.85,53,0.56,0.169,"30km SSW of Chester, California",40.0425,-121.3488333,California,28,1.47E+12,7/28/2016 01:45,1,45,7,1,2016
ci37641392,26,2.05,65,10.82,0.0473,"14km ESE of Anza, CA",33.5101667,-116.5275,California,28,1.47E+12,7/28/2016 01:46,1,46,7,29,2016
ci37641400,131,0.35,2,10.91,0.04202,"15km ESE of Anza, CA",33.5173333,-116.5158333,California,28,1.47E+12,7/28/2016 01:52,1,52,7,21,2016
ci37641408,79,1.16,21,9.71,0.154,"23km ESE of Julian, CA",33.038,-116.3626667,California,28,1.47E+12,7/28/2016 01:56,1,56,7,31,2016
ci37641432,35,1.23,23,9.64,0.1314,"6km NW of Aguanga, CA",33.4871667,-116.9063333,California,28,1.47E+12,7/28/2016 02:09,2,9,7,23,2016
nc72667336,81,1.02,16,2.09,0.01182,"5km W of Cobb, California",38.8190002,-122.7898331,California,28,1.47E+12,7/28/2016 02:12,2,12,7,31,2016
nc72667341,40,1.36,28,3.22,0.009996,"5km W of Cobb, California",38.819,-122.7911667,California,28,1.47E+12,7/28/2016 02:22,2,22,7,13,2016
nc72667361,74,0.87,12,1.59,0.006523,"9km WNW of Cobb, California",38.8400002,-122.8273315,California,28,1.47E+12,7/28/2016 03:05,3,5,7,32,2016
nc72667366,130,0.47,3,2.76,0.01078,"11km ESE of Mammoth Lakes, California",37.6208333,-118.8428333,California,28,1.47E+12,7/28/2016 03:09,3,9,7,45,2016
ci37641448,98,0.7,8,1.41,0.001856,"16km NE of Little Lake, CA",36.026,-117.7673333,California,28,1.47E+12,7/28/2016 03:14,3,14,7,58,2016
nc72667391,99,0.25,1,6.98,0.01436,"8km ESE of Mammoth Lakes, California",37.6216667,-118.8856667,California,28,1.47E+12,7/28/2016 04:14,4,14,7,54,2016
ci37641472,96,0.35,2,12.37,0.03986,"3km NNE of Murrieta Hot Springs, CA",33.5853333,-117.151,California,28,1.47E+12,7/28/2016 04:38,4,38,7,23,2016
ci37641480,234,0.52,4,2.75,0.09068,"4km WSW of Little Lake, CA",35.9258333,-117.9498333,California,28,1.47E+12,7/28/2016 05:05,5,5,7,12,2016
nc72667421,239,0.61,6,2.95,0.1319,"22km SSE of Mammoth Lakes, California",37.4613333,-118.8668333,California,28,1.47E+12,7/28/2016 05:33,5,33,7,22,2016
nc72667426,317,0.84,11,13.55,0.1172,"21km SE of Mammoth Lakes, California",37.5115,-118.8035,California,28,1.47E+12,7/28/2016 05:48,5,48,7,39,2016
ci37641504,79,1.23,23,15.8,0.09388,"15km NE of Ojai, CA",34.5281667,-119.1096667,California,28,1.47E+12,7/28/2016 06:21,6,21,7,34,2016
nc72667451,124,1.02,16,10.13,0.04183,"25km SE of Mammoth Lakes, California",37.4853333,-118.7741667,California,28,1.47E+12,7/28/2016 06:35,6,35,7,21,2016
ci37641512,62,0.83,11,16.06,0.09131,"4km SE of Loma Linda, CA",34.0271667,-117.2266667,California,28,1.47E+12,7/28/2016 06:50,6,50,7,16,2016
ci37641520,54,0.92,13,16.51,0.06774,"9km SW of Idyllwild, CA",33.6875,-116.7903333,California,28,1.47E+12,7/28/2016 06:58,6,58,7,4,2016
nc72667456,43,1.38,29,1.56,0.005541,"2km E of The Geysers, California",38.7765,-122.723,California,28,1.47E+12,7/28/2016 07:00,7,0,7,28,2016
nc72667461,85,0.88,12,2.14,0.01262,"2km NW of The Geysers, California",38.7943344,-122.7718353,California,28,1.47E+12,7/28/2016 07:24,7,24,7,43,2016
nc72667471,166,1.06,17,-0.2,0.02182,"4km SE of The Geysers, California",38.7518349,-122.7226639,California,28,1.47E+12,7/28/2016 07:26,7,26,7,18,2016
ci37641528,73,0.68,7,17.48,0.1065,"6km NE of Cabazon, CA",33.9483333,-116.7331667,California,28,1.47E+12,7/28/2016 07:58,7,58,7,31,2016
nc72667526,52,1.31,26,2.35,0.01984,"1km N of The Geysers, California",38.793,-122.7588333,California,28,1.47E+12,7/28/2016 08:43,8,43,7,27,2016
nc72667536,208,0.5,4,1.44,0.02843,"6km SSE of Mammoth Lakes, California",37.5921667,-118.9408333,California,28,1.47E+12,7/28/2016 09:35,9,35,7,16,2016
nc72667541,106,0.73,8,0.04,0.03569,"7km SSE of Mammoth Lakes, California",37.5816667,-118.9388333,California,28,1.47E+12,7/28/2016 09:47,9,47,7,41,2016
ci37641560,129,0.88,12,9.68,0.05048,"10km WNW of Morongo Valley, CA",34.0753333,-116.6896667,California,28,1.47E+12,7/28/2016 10:00,10,0,7,21,2016
nc72667551,46,1.26,24,8.42,0.06886,"15km NE of San Simeon, California",35.7323333,-121.0626667,California,28,1.47E+12,7/28/2016 10:20,10,20,7,27,2016
nc72667566,84,2.25,78,4.81,0.01689,"13km SE of Mammoth Lakes, California",37.5785,-118.8446667,California,28,1.47E+12,7/28/2016 10:28,10,28,7,14,2016
ci37641632,79,0.93,13,1.87,0.07168,"16km NNE of Thousand Palms, CA",33.9481667,-116.323,California,28,1.47E+12,7/28/2016 11:10,11,10,7,39,2016
nc72667581,71,1.91,56,3.04,0.01056,"6km NW of The Geysers, California",38.8131667,-122.8168333,California,28,1.47E+12,7/28/2016 11:20,11,20,7,8,2016
nc72667586,120,0.88,12,2.6,0.007699,"6km NW of The Geysers, California",38.8103333,-122.8195038,California,28,1.47E+12,7/28/2016 11:21,11,21,7,39,2016
ci37641664,94,0.3,1,14.59,0.03991,"12km ESE of Anza, CA",33.5206667,-116.5496667,California,28,1.47E+12,7/28/2016 11:31,11,31,7,6,2016
uw61172677,159,1.38,29,9.33,0.07053,"21km NE of Montague, California",41.8516667,-122.3303333,California,28,1.47E+12,7/28/2016 11:31,11,31,7,39,2016
ci37641672,65,1.25,24,2.17,0.06844,"16km E of Desert Hot Springs, CA",33.962,-116.3305,California,28,1.47E+12,7/28/2016 11:33,11,33,7,31,2016
nc72667591,43,1.19,22,1.66,0.009621,"4km W of Cobb, California",38.8225,-122.7768333,California,28,1.47E+12,7/28/2016 11:51,11,51,7,4,2016
ci37641680,81,1.15,20,1.77,0.07248,"16km NNE of Thousand Palms, CA",33.953,-116.3228333,California,28,1.47E+12,7/28/2016 11:55,11,55,7,23,2016
ci37641688,84,0.55,5,3.27,0.04609,"4km E of Banning, CA",33.9323333,-116.8348333,California,28,1.47E+12,7/28/2016 11:59,11,59,7,32,2016
ci37641704,78,0.79,10,1.99,0.06929,"15km NNE of Thousand Palms, CA",33.9461667,-116.3256667,California,28,1.47E+12,7/28/2016 12:25,12,25,7,50,2016
ci37641712,78,0.78,9,2.16,0.06966,"15km NNE of Thousand Palms, CA",33.9471667,-116.3253333,California,28,1.47E+12,7/28/2016 12:27,12,27,7,51,2016
ci37641720,59,1.49,34,10.59,0.03931,"8km NNE of Santa Clarita, CA",34.4761667,-118.4605,California,28,1.47E+12,7/28/2016 12:33,12,33,7,6,2016
nc72667606,109,0.77,9,8.56,0.1179,"25km SE of Mammoth Lakes, California",37.4766667,-118.7876667,California,28,1.47E+12,7/28/2016 12:43,12,43,7,55,2016
nc72667616,99,0.56,5,1.81,0.005894,"7km NW of The Geysers, California",38.8143349,-122.8263321,California,28,1.47E+12,7/28/2016 12:59,12,59,7,46,2016
ci37641768,64,1.16,21,1.68,0.07091,"16km NNE of Thousand Palms, CA",33.9486667,-116.324,California,28,1.47E+12,7/28/2016 13:01,13,1,7,29,2016
ci37641776,92,1.89,55,26.12,0.2885,"6km SSW of Wasco, CA",35.5403333,-119.3643333,California,28,1.47E+12,7/28/2016 13:16,13,16,7,50,2016
ci37641832,73,0.96,14,10.76,0.0994,"24km NE of Pine Valley, CA",32.9715,-116.351,California,28,1.47E+12,7/28/2016 14:00,14,0,7,45,2016
ci37641848,77,0.82,10,17.07,0.07563,"3km W of Yucaipa, CA",34.0326667,-117.0773333,California,28,1.47E+12,7/28/2016 14:03,14,3,7,5,2016
ci37641856,30,1.71,45,5.56,0.02162,"3km WSW of Borrego Springs, CA",33.2478333,-116.4083333,California,28,1.47E+12,7/28/2016 14:11,14,11,7,59,2016
nc72667646,141,0.27,1,1.51,0.01001,"4km SSE of Cobb, California",38.786,-122.6968333,California,28,1.47E+12,7/28/2016 14:23,14,23,7,11,2016
ci37641864,138,0.92,13,2.19,0.07979,"20km ENE of Thermal, CA",33.7285,-115.9456667,California,28,1.47E+12,7/28/2016 14:28,14,28,7,50,2016
ci37641888,99,1.43,31,-0.97,0.05611,"14km W of Mojave, CA",35.0458333,-118.3286667,California,28,1.47E+12,7/28/2016 14:44,14,44,7,13,2016
ci37641896,56,0.93,13,-0.49,0.0422,"4km NW of Nuevo, CA",33.8261667,-117.1776667,California,28,1.47E+12,7/28/2016 15:04,15,4,7,15,2016
nc72667656,156,0.27,1,2.73,0.009474,"7km NW of The Geysers, California",38.8216667,-122.822,California,28,1.47E+12,7/28/2016 15:17,15,17,7,2,2016
nc72667661,29,1.95,58,5.75,0.03214,"3km S of San Juan Bautista, California",36.81,-121.5371667,California,28,1.47E+12,7/28/2016 15:48,15,48,7,59,2016
nc72667666,110,1.15,20,5.72,0.02298,"7km NE of San Simeon, California",35.6818333,-121.1255,California,28,1.47E+12,7/28/2016 16:00,16,0,7,51,2016
nc72667671,107,3.22,164,6.15,0.02379,"7km NE of San Simeon, California",35.6823333,-121.1245,California,28,1.47E+12,7/28/2016 16:13,16,13,7,20,2016
nc72667676,75,0.34,2,1.54,0.01326,"0km ESE of The Geysers, California",38.7726667,-122.747,California,28,1.47E+12,7/28/2016 16:15,16,15,7,52,2016
nc72667681,116,0.78,9,6.08,0.01734,"6km NE of San Simeon, California",35.6806667,-121.1325,California,28,1.47E+12,7/28/2016 16:17,16,17,7,5,2016
nc72667686,111,1.2,22,6.05,0.02203,"7km NE of San Simeon, California",35.6816667,-121.1266667,California,28,1.47E+12,7/28/2016 16:21,16,21,7,39,2016
nc72667691,110,1.64,41,5.98,0.02367,"7km NE of San Simeon, California",35.6815,-121.1246667,California,28,1.47E+12,7/28/2016 16:24,16,24,7,55,2016
nc72667696,33,1.57,38,6.18,0.02916,"6km ENE of East Foothills, California",37.3986667,-121.7516667,California,28,1.47E+12,7/28/2016 16:35,16,35,7,6,2016
nc72667711,93,0.26,1,3.3,0.006401,"6km NW of The Geysers, California",38.8181667,-122.8053333,California,28,1.47E+12,7/28/2016 17:01,17,1,7,44,2016
nc72667716,110,0.78,9,5.6,0.02108,"7km NE of San Simeon, California",35.682,-121.1278333,California,28,1.47E+12,7/28/2016 17:01,17,1,7,45,2016
ci37642032,116,0.6,6,2.97,0.06717,"15km N of Borrego Springs, CA",33.3928333,-116.3825,California,28,1.47E+12,7/28/2016 17:26,17,26,7,35,2016
ci37642048,38,1.16,21,7.82,0.03292,"4km NE of Palomar Observatory, CA",33.3796667,-116.8385,California,28,1.47E+12,7/28/2016 17:35,17,35,7,50,2016
nc72667746,87,1.2,22,5.25,0.03146,"12km SE of Mammoth Lakes, California",37.5761667,-118.8646667,California,28,1.47E+12,7/28/2016 18:05,18,5,7,21,2016
nc72667761,126,0.88,12,2.75,0.01018,"6km WNW of The Geysers, California",38.8071671,-122.81633,California,28,1.47E+12,7/28/2016 18:37,18,37,7,4,2016
ci37642072,141,2.75,116,5.87,0.3834,"43km WSW of Carlsbad, CA",33.001,-117.7703333,California,28,1.47E+12,7/28/2016 18:47,18,47,7,44,2016
ci37642080,111,0.91,13,11.18,0.06958,"0km NE of Lakeland Village, CA",33.639,-117.3435,California,28,1.47E+12,7/28/2016 18:59,18,59,7,8,2016
nc72667771,110,0.79,10,6.22,0.02285,"7km NE of San Simeon, California",35.6815,-121.1256667,California,28,1.47E+12,7/28/2016 19:19,19,19,7,27,2016
ci37143524,77,0.91,13,1.44,0.07049,"15km NNE of Thousand Palms, CA",33.9425,-116.324,California,28,1.47E+12,7/28/2016 19:23,19,23,7,27,2016
